POLITICAL_UNIT,NAME,WGMS_ID,YEAR,SURVEY_DATE,HIGHEST_ELEVATION,MEDIAN_ELEVATION,LOWEST_ELEVATION,ELEVATION_UNC,LENGTH,LENGTH_UNC,AREA,AREA_UNC,SURVEY_PLATFORM_METHOD,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
AF,UNNAMED 17938,17938,2002,,5160,4931,4600,,,,3.26,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17939,17939,2002,,5523,4938,4394,,,,3.8,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17940,17940,2002,,5701,4781,4415,,,,2.53,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17941,17941,2002,,5506,5160,4868,,,,2.0599999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17942,17942,2002,,5467,5094,4684,,,,3.8800001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17943,17943,2002,,5379,5045,4694,,,,2.77,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17944,17944,2002,,5228,4923,4778,,,,2.3699999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17945,17945,2002,,5355,4797,4487,,,,2.74,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17946,17946,2002,,5728,5132,4602,,,,3.9100001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17947,17947,2002,,5623,5248,4884,,,,3.54,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17948,17948,2002,,5472,5049,4782,,,,3.1800001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17949,17949,2002,,6175,5398,4857,,,,9.1999998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17950,17950,2002,,5565,4959,4296,,,,2.6800001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17951,17951,2002,,5056,4680,4155,,,,3.9100001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17952,17952,2002,,5297,4656,4147,,,,9.8699999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17953,17953,2002,,5578,5139,4825,,,,4.02,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17954,17954,2002,,5220,4799,4549,,,,3.3900001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17955,17955,2002,,5288,4884,4637,,,,2.3399999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17956,17956,2002,,5310,4827,4463,,,,4.73,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17957,17957,2002,,5414,5147,4880,,,,3.73,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17958,17958,2002,,5362,4929,4595,,,,4.6500001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17959,17959,2002,,5430,5107,4831,,,,3.6099999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17960,17960,2002,,5283,4911,4757,,,,2.1500001,,,,,RGI5.0,Information derived from RGI5.0.
